F24S10/00	作動流体を用いる太陽熱集熱器
F24S80/00	グループＦ２４Ｓ１０／００〜Ｆ２４Ｓ７０／００に分類されない太陽熱集熱器の細部，付属品または構成部品<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／００はグループＦ２４Ｓ７０／００への再分類の影響を受ける。<br>グループＦ２４Ｓ８０／００およびＦ２４Ｓ７０／００はコンプリートサーチの完遂のために考慮されるべきである。
F24S2080/01	｛特定の材料の選択｝
F24S2080/011	｛セラミックス｝
F24S2080/012	｛コンクリート｝
F24S2080/013	｛発泡体｝
F24S2080/014	｛炭素，例．黒鉛｝
F24S2080/015	｛樹脂｝
F24S2080/016	｛織物；布｝
F24S2080/017	｛天然材料，例．木材｝
F24S2080/018	｛再生材料｝
F24S2080/03	｛熱伝達の最適化のための装置｝
F24S2080/05	｛流れの案内手段；道路の内側の挿入物｝
F24S2080/07	｛一方向の熱伝達のための装置，例．熱ダイオード｝
F24S2080/09	｛太陽熱集熱器要素の強化のための装置｝
F24S80/10	熱交換導路のための材料
F24S80/20	太陽熱集熱器に特に適合する作動流体
F24S80/30	太陽熱集熱器の流体回路を互いにまたは他の構成要素と接続するための装置，例．パイプ接続；流体分配手段，例．ヘッダー
F24S80/40	ケーシング
F24S80/45	材料に特徴を有するもの
F24S80/453	金属材料からなるもの
F24S80/457	プラスチックからなるもの
F24S80/50	入射する太陽光線は通し外への熱放射は防止する要素<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５０はグループＦ２４Ｓ８０／５６およびＦ２４Ｓ８０／５８への再分類の影響を受ける。<br>グループＦ２４Ｓ８０／５０，Ｆ２４Ｓ８０／５６，およびＦ２４Ｓ８０／５８はコンプリートサーチの完遂のために考慮されるべきである。
F24S2080/501	｛特別な形状｝
F24S2080/502	｛多数の覆い要素の形態であるもの｝
F24S2080/503	｛湾曲した覆い要素の形態であるもの｝
F24S80/52	材料に特徴を有するもの（熱損失の防止Ｆ２４Ｓ８０／５６）<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５２はグループＦ２４Ｓ８０／５６およびＦ２４Ｓ８０／５８への再分類の影響を受ける。<br>グループＦ２４Ｓ８０／５２，Ｆ２４Ｓ８０／５６，およびＦ２４Ｓ８０／５８はコンプリートサーチの完遂のために考慮されるべきである。
F24S80/525	プラスチックからなるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５２５はグループＦ２４Ｓ８０／５６およびＦ２４Ｓ８０／５８への再分類の影響を受ける。<br>グループＦ２４Ｓ８０／５２５，Ｆ２４Ｓ８０／５６，およびＦ２４Ｓ８０／５８はコンプリートサーチの完遂のために考慮されるべきである。
F24S80/54	真空要素を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５４はグループＦ２４Ｓ８０／５６およびＦ２４Ｓ８０／５８への再分類の影響を受ける。<br>グループＦ２４Ｓ８０／５４，Ｆ２４Ｓ８０／５６，およびＦ２４Ｓ８０／５８はコンプリートサーチの完遂のために考慮されるべきである。
F24S80/56	熱損失防止手段に特徴を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５６はグループＦ２４Ｓ８０／５０，Ｆ２４Ｓ８０／５２，Ｆ２４Ｓ８０／５２５，およびＦ２４Ｓ８０／５４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S80/58	取付けまたは固定手段に特徴を有するもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ８０／５８はグループＦ２４Ｓ８０／５０，Ｆ２４Ｓ８０／５２，Ｆ２４Ｓ８０／５２５，およびＦ２４Ｓ８０／５４からの文献の再分類が未完成であり保留されている。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S80/60	熱絶縁（透明カバーＦ２４Ｓ８０／５０）
F24S80/65	材料に特徴を有するもの
F24S80/70	シール手段
F24S90/00	他に分類されない太陽熱システム
F24S90/10	熱サイフォン循環を用いるもの<br><br><u>警告</u><br><br>グループＦ２４Ｓ９０／１０はグループＦ２４Ｓ１０／９０からの文献の再分類が未完成であり保留されている。<br>グループＦ２４Ｓ９０／１０はまたグループＦ２１Ｓ１０／９０およびF24S 10/95への再分類の影響を受ける。<br>この警告に掲載されたすべてのグループはコンプリートサーチの完遂のために考慮されるべきである。
F24S2201/00	予報；模擬実験
